productid,category,product_name,source,price,mrp,discount,rating,scraped_at
COMHD8BGPXTWVY3J,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) BBN40412814 Lap...,flipkart,15989,25990,38% off,,2026-09-09T10:13:19.274851
COMHDZVEE22P67WR,laptops,HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,flipkart,120928,,,,2026-09-09T10:13:19.274851
COMHZW7ATMPJXGDS,laptops,Acer One 15 AMD Ryzen 3 Octa Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) AO15-41M-G2 Notebook,flipkart,42899,57500,25% off,,2026-09-09T10:13:19.274851
COMHGWQY66YNGVFK,laptops,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,flipkart,44990,75990,40% off,,2026-09-09T10:13:19.274851
COMHE4ATFWNVHXHS,laptops,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,flipkart,74990,92390,18% off,,2026-09-09T10:13:19.274851
COMGFHMJFHEDTDD4,laptops,Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A114-43 Thin and Light Lap...,flipkart,,,,,2026-09-09T10:13:19.274851
COMH7NCZY2QDJ5Z4,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,flipkart,36882,45990,19% off,,2026-09-09T10:13:19.274851
COMHNNKQR9FURZZQ,laptops,Acer Aspire 5 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) A514-54H Notebook,flipkart,69890,99990,30% off,,2026-09-09T10:13:19.274851
COMHM55EDFBDAHHZ,laptops,HP {2026} AMD Ryzen 5 Hexa Core 7535U - (8 GB/512 GB SSD/Windows 11 Home) 255R G10 Laptop,flipkart,57990,65990,12% off,,2026-09-09T10:13:19.274851
COMHK55FMC67NQ5V,laptops,HP MS Office 2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0045TU Thin ...,flipkart,67990,69023,1% off,,2026-09-09T10:13:19.274851
COMH397XW36HUXB8,laptops,Acer Aspire 15 AMD Office 2024 + M365 Basic AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11...,flipkart,56990,59990,5% off,,2026-09-09T10:13:19.274851
COMHG77QAFYQFUQG,laptops,HP 255 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Pro) 255 G10 Thin and Light...,flipkart,47999,50128,4% off,,2026-09-09T10:13:19.274851
COMHMPEEGVJYYZ2Z,laptops,Acer Aspire 3 (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Notebook,flipkart,54990,94999,42% off,,2026-09-09T10:13:19.274851
COMH7NCZ8BARKXFF,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,flipkart,38500,48999,21% off,,2026-09-09T10:13:19.274851
COMHHAFFYEGZUXG8,laptops,"ASUS Vivobook 14 Flip OLED (2026) with Touch Screen, Metallic Design, Intel Core Ultra 5 226V - (16 GB...",flipkart,96990,176990,45% off,,2026-09-09T10:13:19.274851
COMH59ENQYHDYJGX,laptops,Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,flipkart,43990,44990,2% off,,2026-09-09T10:13:19.274851
COMHK4F734GZWHFM,laptops,HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,flipkart,50843,,,,2026-09-09T10:13:19.274851
COMH9SJ9Q8ZZHFN7,laptops,"ASUS Vivobook 15 (2025) with Touchscreen & Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 ...",flipkart,44990,51990,13% off,,2026-09-09T10:13:19.274851
COMHBFRJKS4UDSRU,laptops,HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,flipkart,53327,,,,2026-09-09T10:13:19.274851
COMHMHYH9GDHGXDA,laptops,"Acer Aspire 15 MS Office 2024 + M365 Basic, AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 ...",flipkart,43990,74999,41% off,,2026-09-09T10:13:19.274851
COMHBFRJJPDPHZ2H,laptops,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,flipkart,57890,69990,17% off,,2026-09-09T10:13:19.274851
COMHCPHGZXJWVNX2,laptops,HP 15 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,flipkart,47905,49990,4% off,,2026-09-09T10:13:19.274851
COMHMYD8FQU2Z8QG,laptops,"Acer Aspire 15 Lite(i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) AL 15-52H , AL...",flipkart,64990,73418,11% off,,2026-09-09T10:13:19.274851
COMGZNSBMUR7S8WY,laptops,HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Th...,flipkart,51990,55990,7% off,,2026-09-09T10:13:19.274851
