productid,category,product_name,review_count,n_price_points,price_volatility,norm_reviews,norm_volatility,composite_score
COMHKQA3R42GHHJF,laptops,ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,0,2,,0.0,0.0,0.0
COMHM55EDFBDAHHZ,laptops,HP {2026} AMD Ryzen 5 Hexa Core 7535U - (8 GB/512 GB SSD/Windows 11 Home) 255R G10 Laptop,0,2,,0.0,0.0,0.0
COMHM9URJR7BV3HY,laptops,ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (32 GB/1 TB SSD/Windows 11 Home) B9406CAA...,0,3,0.0,0.0,0.0,0.0
COMHMHYH9GDHGXDA,laptops,"Acer Aspire 15 MS Office 2024 + M365 Basic, AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 ...",0,2,,0.0,0.0,0.0
COMHMHYHZPXKCEGJ,laptops,Acer Aspire One Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A114-45 Notebook,0,1,,0.0,0.0,0.0
COMHMPEEGVJYYZ2Z,laptops,Acer Aspire 3 (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Notebook,0,2,,0.0,0.0,0.0
COMHMYD8FQU2Z8QG,laptops,"Acer Aspire 15 Lite(i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) AL 15-52H , AL...",0,2,,0.0,0.0,0.0
COMHN4F7HVEHFUYW,laptops,ASUS Intel Core N Intel Processor N50 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1405CTA-S60622 Chromebo...,0,1,,0.0,0.0,0.0
COMHNHH8FBHVAY2N,laptops,ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,0,2,,0.0,0.0,0.0
COMHNNHG5N32TYQF,laptops,Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,0,3,0.0,0.0,0.0,0.0
COMHNNKQR9FURZZQ,laptops,Acer Aspire 5 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) A514-54H Notebook,0,2,,0.0,0.0,0.0
COMHPKRBZT8NHPHY,laptops,Lenovo AMD Ryzen 3 Quad Core 30 - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 15AMN8 Thin and Lig...,0,1,,0.0,0.0,0.0
COMHZQX4TQ3P9H3Z,laptops,Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/512 GB SSD/Tahoe) MHFG4HN/A,0,2,,0.0,0.0,0.0
COMHZQX4YFJWRPYZ,laptops,Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/256 GB SSD/Tahoe) MHFA4HN/A,0,2,,0.0,0.0,0.0
COMHZW7ATMPJXGDS,laptops,Acer One 15 AMD Ryzen 3 Octa Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) AO15-41M-G2 Notebook,0,1,,0.0,0.0,0.0
COMHZX2TW9ZYNZMX,laptops,Acer Aspire 3 AMD Ryzen 3 5300U - (8 GB/256 GB SSD/Windows 11 Home) A325-42 Notebook,0,2,,0.0,0.0,0.0
COMHZX8EXE4JE2FD,laptops,Lenovo IdeaPad Slim 3 AMD Ryzen 3 30 - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 15AMN8 Thin a...,0,1,,0.0,0.0,0.0
COMHZZG7M4JZ5KZS,laptops,Acer Chromebook MediaTek Kompanio 540 - (4 GB/128 GB EMMC Storage/Chrome OS) CB315-8H Chromebook,0,1,,0.0,0.0,0.0
